text,label
"Polska wtedy oficjalnie powinna przyznać, że oddadzą (oczywiście zgodnie z prawem po wyrokach sądów polskich prawowitym spadkobiercom) jak tylko Niemcy oddadzą za zniszczenia jakich dokonali w II WŚ na terenie Polski (⌐ ͡■ ͜ʖ ͡■)",0
"Gigantyczna różnica

{USERNAME}: biorac pod uwage koszty to gigantyczna. W niemczech sa troche ciut inne",0
{USERNAME}: Moj kumpel budowlaniec w UK  nigdy nie bierze roboty od Polaków bo umawiasz się na konkretną sumę a później zebranie no weź spusc mówiłeś że będziesz robił 5 dni a zrobiłeś w 4 dni. Ciągłe zebry o jakieś drobne gorsi są tylko pakistanczycy,0
"kura, rzodkiewka za 3pln to nie jest tanio",0
"{USERNAME}: większość nie idzie w marszu za PO ale przeciw PiS. Co do historii to chyba sam masz słabą pamięć. Jakie 10 lat i o jakim upadku mówisz, upadł to rząd pisu, LPR i solidarności 16 lat temu.",0
Za takie podejście to pierdolić gwiazdki JEBAĆ PiS,1
"{USERNAME}: oj tam, sondaże wyborcze to każda stacja telewizyjna ogłasza, taki śmieszny, skompromitowany portalik jak vikop.ru nie ma żadnego wpływu na nastroje społeczne.",0
"lewactwo powinno być ubijane w ubojniach jak bydło, oczywiście rytualnie",1
"W każdym normalnym kraju tak skompromitowany polityk podał by się do dymisji.

{USERNAME}: Zależy bardziej od oburzenia społecznego. Od kraju niewiele.",0
Niedługo dojdziemy do etapu kiedy to Wypierdki będą piały z zachwytu jak ukry zaczną obozy koncentracyjny dla Rusków stawiać. Wy głupie bydlęta,1
{USERNAME} Siema smieciu. Umawiamy się na wpierdol dla ciebie? Skąd jesteś? Za tego bana z chęcią bym ci najebal. I nie rób kurwa cyrków z robieniem skrinow i wrzucaniem na główna. Załatwimy to jak faceci. Chociaż nie wiem czy się uda bo ty jesteś pizdą. Tylko jutro nie bo rucham ci matkę.,1
"{USERNAME}: Uciekają przed wojną? XD Ile już widziałem śmierdzieli co przyjechali po socjal tylko albo chleją na ławkach w parku i na rynku i drą mordę po ukraińsku i się do ludzi rzucają, zwykle bydło, takich mam przyjmować ale porządnego Rosjanina nie tylko dlatego że jest Rosjaninem? Na Ukrainie mężczyźni mają zakaz wyjazdu ale za łapówką już ponad pół miliona wyjechało. Ładny wpis ksenofobie, ile hrywien wpadło ukraiński trolu?",1
Jade jutro na protest tylko chce jakąs kobiete ogłuszyc i zabrac do domu co polecacie #protest,1
Z chodzącym gównem z dużymi brwiami ( ͡° ͜ʖ ͡°),1
"{USERNAME}: dokładnie, chcą mu zabrać, to niech dadzą tyle ile on **zażąda**. Jak się nie zgadzają to wypad.",0
"Cecha zawodnik jednego klubu poszła się jebać lol
#[surname] #fut",1
{USERNAME}: a gdzie takie bujdy wyczytałeś? Nie ma w tym artykule nic gdzie jest rowerzysta tylko gdzie jest kierowca.,0
"mądrzejsze to nie wspominać o tym że Kadafi był obrzydliwym pedofilem z własnym haremem

{USERNAME}: jak dla mnie [pseudonym] też by mógł być, jakby dobrze rządził krajem.",0
{USERNAME}: Szympans na furmance,0
"{USERNAME}: i co tępy lewacki kutasie ? Cały sejm wczoraj wieczorem uroił sobie coś przegłosowując ustawę anty-roszczeniową ????

{URL}",1